step,R,Rg,contacts
100,2.23606797749979,1.1666666666666667,0
200,3.605551275463989,1.2583057392117916,0
300,3.0,1.3437096247164249,0
400,3.605551275463989,1.3017082793177757,0
450,3.0,1.1666666666666665,1
700,2.23606797749979,1.1666666666666665,0
750,4.123105625617661,1.4240006242195884,0
850,2.23606797749979,0.9574271077563381,2
900,4.123105625617661,1.4240006242195884,0
1000,2.23606797749979,1.0671873729054748,1
1050,2.23606797749979,0.9574271077563381,2
1100,4.123105625617661,1.3844373104863459,0
1200,4.123105625617661,1.5365907428821477,0
1350,3.0,1.2133516482134197,0
1450,3.605551275463989,1.3017082793177757,0
1500,3.605551275463989,1.3844373104863459,0
1550,4.123105625617661,1.536590742882148,0
1700,4.123105625617661,1.5365907428821477,0
1750,3.605551275463989,1.3017082793177757,0
1800,3.605551275463989,1.3017082793177759,0
1850,4.123105625617661,1.3844373104863459,0
1950,4.123105625617661,1.536590742882148,0
2100,2.23606797749979,1.0671873729054748,1
2150,2.23606797749979,1.0671873729054748,1
2250,3.0,1.2133516482134197,0
2300,3.605551275463989,1.2583057392117916,0
2350,2.23606797749979,1.0671873729054748,1
2400,3.605551275463989,1.3017082793177759,0
2450,2.23606797749979,1.0671873729054748,1
2600,3.0,1.0671873729054746,1
2650,3.605551275463989,1.3844373104863459,0
2700,2.23606797749979,1.0671873729054748,1
2750,3.605551275463989,1.3844373104863459,0
2800,2.23606797749979,1.1666666666666667,0
2850,2.23606797749979,1.1666666666666667,0
3000,3.0,1.0671873729054746,1
3150,2.23606797749979,0.9574271077563381,2
3250,3.0,1.2133516482134197,0
3400,2.23606797749979,1.0671873729054746,1
3450,2.23606797749979,1.0671873729054746,1
3500,3.605551275463989,1.3844373104863459,0
3550,1.0,0.9574271077563381,2
3600,3.605551275463989,1.3017082793177757,0
3650,2.23606797749979,1.1666666666666667,0
3700,2.23606797749979,1.0137937550497034,1
3750,3.605551275463989,1.3017082793177759,0
3800,3.605551275463989,1.3017082793177759,0
3850,2.23606797749979,1.0671873729054748,1
3900,3.605551275463989,1.3017082793177759,0
3950,3.605551275463989,1.3844373104863459,0
4100,3.605551275463989,1.3017082793177759,0
4150,1.0,0.9574271077563381,2
4200,3.605551275463989,1.3844373104863459,0
4350,1.0,0.9574271077563381,2
4400,2.23606797749979,1.1666666666666667,0
4450,4.123105625617661,1.3844373104863459,0
4550,3.605551275463989,1.3017082793177759,0
4600,3.0,1.3437096247164249,0
4650,3.605551275463989,1.3844373104863459,0
4700,4.123105625617661,1.3844373104863459,0
4800,2.23606797749979,1.1666666666666667,1
4950,3.605551275463989,1.3017082793177757,0
5000,3.605551275463989,1.3017082793177757,0
5050,2.23606797749979,1.0671873729054748,1
5100,3.605551275463989,1.2583057392117916,0
5150,2.23606797749979,1.0671873729054748,1
5350,2.23606797749979,1.0671873729054748,1
5450,1.0,0.9574271077563381,2
5600,2.23606797749979,1.1666666666666667,1
5650,2.23606797749979,1.0137937550497034,1
5750,2.23606797749979,1.0671873729054748,1
5800,3.605551275463989,1.3017082793177759,0
5900,3.605551275463989,1.3017082793177759,0
6000,3.0,1.1666666666666667,1
6150,3.605551275463989,1.2583057392117916,0
6200,1.0,0.9574271077563381,2
6250,3.605551275463989,1.3017082793177757,0
6300,2.23606797749979,1.1666666666666665,1
6400,4.123105625617661,1.4240006242195884,0
6450,4.123105625617661,1.3844373104863459,0
6700,4.123105625617661,1.4240006242195884,0
6750,3.605551275463989,1.3017082793177757,0
6800,3.0,1.1666666666666665,1
6900,3.0,1.1666666666666667,1
7050,3.605551275463989,1.3017082793177759,0
7100,3.605551275463989,1.3017082793177757,0
7150,4.123105625617661,1.4240006242195886,0
7200,3.0,1.2133516482134197,0
7300,2.23606797749979,1.0671873729054748,1
7350,2.23606797749979,1.0671873729054748,1
7400,3.605551275463989,1.3017082793177759,0
7450,3.605551275463989,1.3017082793177759,0
7700,3.0,1.0671873729054748,1
7800,4.123105625617661,1.3844373104863459,0
7900,3.605551275463989,1.3844373104863459,0
8000,2.23606797749979,1.0671873729054748,1
8050,3.605551275463989,1.3017082793177759,0
8100,2.23606797749979,1.0671873729054748,1
8250,3.605551275463989,1.3017082793177759,0
8450,3.605551275463989,1.3844373104863459,0
8500,2.23606797749979,1.0671873729054748,1
8600,3.605551275463989,1.3017082793177757,0
8900,4.123105625617661,1.4240006242195886,0
9000,2.23606797749979,1.0671873729054748,1
9050,3.605551275463989,1.3017082793177757,0
9250,3.605551275463989,1.3017082793177757,0
9400,2.23606797749979,1.1666666666666667,0
9700,3.0,1.1666666666666667,1
9750,2.23606797749979,1.1666666666666665,1
9800,3.605551275463989,1.3017082793177759,0
9900,3.605551275463989,1.3017082793177759,0
9950,3.605551275463989,1.3017082793177759,0
10000,3.0,1.0671873729054748,1
10150,2.23606797749979,0.9574271077563381,2
10200,4.123105625617661,1.4240006242195886,0
10550,3.605551275463989,1.3017082793177759,0
10700,5.0,1.707825127659933,0
10750,4.123105625617661,1.4240006242195884,0
10800,3.605551275463989,1.3017082793177757,0
10950,3.0,1.1666666666666665,1
11050,3.0,1.2133516482134197,0
11150,3.605551275463989,1.3844373104863459,0
11200,1.0,0.9574271077563381,2
11300,3.605551275463989,1.3844373104863459,0
11400,3.605551275463989,1.3844373104863459,0
11450,1.0,0.9574271077563381,2
11500,3.0,1.2133516482134197,0
11550,3.605551275463989,1.3844373104863459,0
11700,3.605551275463989,1.2583057392117916,0
11750,1.0,0.9574271077563381,2
11800,3.0,1.2133516482134197,0
11950,3.605551275463989,1.3017082793177759,0
12100,4.123105625617661,1.536590742882148,0
12250,1.0,0.9574271077563381,2
12300,2.23606797749979,1.1666666666666667,1
12400,3.605551275463989,1.3017082793177757,0
12450,3.0,1.1666666666666665,1
12550,4.123105625617661,1.4240006242195884,0
12600,3.605551275463989,1.3844373104863459,0
12650,3.605551275463989,1.3844373104863459,0
12700,2.23606797749979,1.1666666666666667,1
12750,3.605551275463989,1.3844373104863459,0
12800,2.23606797749979,1.0671873729054748,1
12850,2.23606797749979,1.0671873729054748,1
13050,3.605551275463989,1.3844373104863459,0
13100,3.605551275463989,1.3017082793177759,0
13150,2.23606797749979,0.9574271077563381,2
13250,3.0,1.2133516482134197,0
13300,3.605551275463989,1.3017082793177757,0
13350,3.605551275463989,1.3844373104863459,0
13400,3.605551275463989,1.3017082793177757,0
13450,2.23606797749979,1.0137937550497034,1
13600,2.23606797749979,1.1666666666666667,0
13700,3.0,1.2133516482134197,0
13950,3.0,1.1666666666666667,1
14000,2.23606797749979,1.0671873729054746,1
14100,3.605551275463989,1.3844373104863459,0
14150,2.23606797749979,1.0671873729054748,1
14200,2.23606797749979,1.0671873729054746,1
14300,3.605551275463989,1.3844373104863459,0
14350,1.0,0.9574271077563381,2
14400,3.0,1.2133516482134197,0
14450,2.23606797749979,1.0671873729054748,1
14500,3.605551275463989,1.2583057392117916,0
14550,4.123105625617661,1.4240006242195884,0
14650,2.23606797749979,1.0671873729054748,1
14700,3.605551275463989,1.3844373104863459,0
14750,3.0,1.0671873729054748,1
14850,3.605551275463989,1.3017082793177757,0
14900,1.0,0.9574271077563381,2
14950,2.23606797749979,1.0671873729054748,1
15050,2.23606797749979,1.1666666666666665,0
15100,3.605551275463989,1.3017082793177759,0
15200,4.123105625617661,1.536590742882148,0
15350,3.605551275463989,1.3017082793177757,0
15400,2.23606797749979,1.0671873729054748,1
15450,3.605551275463989,1.3017082793177759,0
15550,2.23606797749979,1.0671873729054748,1
15600,4.123105625617661,1.4240006242195886,0
15650,3.605551275463989,1.3017082793177759,0
15700,2.23606797749979,1.1666666666666667,0
15800,3.605551275463989,1.3844373104863459,0
15900,2.23606797749979,1.0137937550497034,1
15950,2.23606797749979,1.0671873729054748,1
16100,2.23606797749979,1.1666666666666665,0
16150,3.605551275463989,1.2583057392117916,0
16250,3.605551275463989,1.3017082793177757,0
16350,2.23606797749979,1.1666666666666665,1
16400,4.123105625617661,1.536590742882148,0
16500,3.0,1.1666666666666665,1
16550,3.605551275463989,1.2583057392117916,0
16600,3.0,1.0671873729054746,1
16750,2.23606797749979,1.0137937550497034,1
16900,4.123105625617661,1.3844373104863459,0
16950,3.0,1.1666666666666665,1
17000,2.23606797749979,1.0671873729054748,1
17150,3.0,1.3437096247164249,0
17200,2.23606797749979,1.1666666666666665,1
17250,3.0,1.0671873729054746,1
17300,3.605551275463989,1.3017082793177757,0
17350,3.0,1.3437096247164249,0
17400,2.23606797749979,1.0671873729054748,1
17450,3.605551275463989,1.3844373104863459,0
17500,3.605551275463989,1.3017082793177757,0
17600,3.605551275463989,1.3017082793177757,0
17700,3.605551275463989,1.3017082793177757,0
17750,3.605551275463989,1.3017082793177757,0
17800,3.0,1.2133516482134197,0
17900,4.123105625617661,1.4240006242195884,0
18050,3.605551275463989,1.3017082793177757,0
18100,3.605551275463989,1.3017082793177757,0
18150,3.605551275463989,1.3017082793177757,0
18200,2.23606797749979,1.1666666666666665,1
18600,4.123105625617661,1.4240006242195884,0
18700,2.23606797749979,1.1666666666666665,1
18950,3.605551275463989,1.3844373104863459,0
19000,3.605551275463989,1.3017082793177757,0
19050,3.605551275463989,1.3844373104863459,0
19100,3.0,1.2133516482134197,0
19200,3.605551275463989,1.3017082793177757,0
19400,3.605551275463989,1.3844373104863459,0
19450,3.605551275463989,1.3017082793177757,0
19500,3.605551275463989,1.3844373104863459,0
19600,2.23606797749979,1.0671873729054746,1
19750,2.23606797749979,0.9574271077563381,2
19800,2.23606797749979,0.9574271077563381,2
19900,3.605551275463989,1.2583057392117916,0
19950,3.605551275463989,1.3017082793177757,0
